,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,7,7,7,11,11,11,11,11,11,11.0
Reserves,1,-1,-6,-5,-4,13,16,14,7,8,17,40.0
Preference Capital,0,0,0,2,7,0,0,0,0,0,0,
Borrowings,10,14,13,14,20,23,23,24,35,32,35,41.0
Other Liabilities,7,7,11,15,24,19,29,35,23,25,32,67.0
Total Liabilities,19,22,24,30,47,65,79,84,75,76,95,159.0
Fixed Assets,2,3,2,2,4,4,4,4,7,10,15,24.0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0.0
Investments,0,0,0,0,0,0,0,0,0,0,0,0.0
Other Assets,17,19,22,28,43,61,74,80,68,66,79,135.0
Total Assets,19,22,24,30,47,65,79,84,75,76,95,159.0
