,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,34,34,36,40,40,40,40,40,40,40,40,40,40.0
Reserves,640,748,993,1642,2014,2374,2566,2726,2867,3276,3232,3399,3705.0
Preference Capital,0,0,0,0,0,0,0,0,0,0,0,0,
Borrowings,1311,1038,1174,775,663,924,872,1498,2035,1533,2229,2295,2062.0
Other Liabilities,1111,1334,1338,1365,1390,1578,1669,2140,2423,3284,3658,3891,4007.0
Total Liabilities,3096,3153,3540,3822,4108,4917,5146,6404,7366,8133,9160,9627,9815.0
Fixed Assets,1587,1573,1565,1581,2032,2453,2709,3180,4160,4763,5329,6096,6243.0
CWIP,18,27,82,229,299,326,310,833,1069,793,876,596,565.0
Investments,31,1,0,312,195,232,214,181,184,210,179,170,156.0
Other Assets,1461,1552,1893,1700,1581,1907,1914,2210,1954,2367,2775,2765,2850.0
Total Assets,3096,3153,3540,3822,4108,4917,5146,6404,7366,8133,9160,9627,9815.0
