,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01,2020-12-01,2021-12-01,2022-12-01,2023-06-01
Equity Capital,92,92,92,323,323,378,378,379,379,379,379,379,379.0
Reserves,779,662,564,1564,1683,2888,3337,3910,4255,4529,4818,4719,
Borrowings,606,684,734,1549,1085,1392,1197,1613,1469,1648,1487,984,
Other Liabilities,551,509,621,1515,2052,2177,2587,2582,2460,2808,3137,3837,
Total Liabilities,2029,1947,2011,4951,5143,6835,7499,8484,8563,9364,9821,9920,
Fixed Assets,1191,1159,1211,3124,3293,4517,4750,4905,6044,6741,6587,5547,
CWIP,53,51,29,126,56,97,60,96,54,12,125,120,
Investments,2,41,58,57,67,39,55,681,96,234,438,576,
Other Assets,782,695,713,1643,1727,2182,2634,2802,2370,2376,2671,3678,
Total Assets,2029,1947,2011,4951,5143,6835,7499,8484,8563,9364,9821,9920,
