,2011-12-01,2012-12-01,2013-12-01,2014-12-01,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01,2020-12-01,2021-12-01,2022-12-01,2023-06-01
Equity Capital,7,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,411,522,667,841,849,978,1041,1129,1165,1305,1571,1785,1918
Borrowings,0,0,0,0,0,0,0,3,3,0,132,83,55
Other Liabilities,285,454,470,416,475,400,446,495,514,895,793,956,945
Total Liabilities,703,983,1145,1265,1331,1385,1495,1634,1689,2207,2504,2831,2924
Fixed Assets,226,467,449,432,413,309,293,350,349,763,661,619,639
CWIP,1,0,0,0,3,4,13,7,12,14,5,14,0
Investments,16,115,244,375,383,465,525,477,453,476,645,683,708
Other Assets,460,401,451,458,532,607,663,800,875,955,1193,1515,1577
Total Assets,703,983,1145,1265,1331,1385,1495,1634,1689,2207,2504,2831,2924
