,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,37.19,39.52,106.97,253.24,128.37,144.85,152.57,158.87,169.27,161.79,159.74,174.99,174.91
Expenses,18.14,27.1,98.21,240.16,112.96,139.69,133.94,158.83,162.0,160.15,155.99,146.23,145.7
Operating Profit,19.05,12.42,8.76,13.08,15.41,5.16,18.63,0.04,7.27,1.64,3.75,28.76,29.21
OPM %,51.22,31.43,8.19,5.17,12.0,3.56,12.21,0.03,4.29,1.01,2.35,16.44,16.7
Other Income,0.07,0.0,0.01,0.0,0.04,0.28,1.89,2.0,1.59,1.98,1.69,11.47,2.47
Interest,5.54,6.48,8.4,9.01,12.46,13.26,16.42,19.06,18.68,20.85,22.04,25.74,26.24
Depreciation,3.5,3.68,4.07,4.37,5.27,5.41,5.85,5.89,6.3,6.43,6.15,7.31,7.96
Profit before tax,10.08,2.26,-3.7,-0.3,-2.28,-13.23,-1.75,-22.91,-16.12,-23.66,-22.75,7.18,-2.52
Tax %,25.5,93.81,-52.16,-306.67,-57.02,-18.22,85.71,-2.66,-11.35,8.37,-5.23,32.45,-102.78
Net Profit,7.52,0.14,-5.64,-1.22,-3.57,-15.65,-0.25,-23.51,-17.95,-21.68,-23.94,4.85,-5.11
EPS in Rs,0.96,0.25,-0.57,0.17,0.07,-0.89,0.3,-1.6,-1.02,-1.23,-1.51,1.34,0.01
