,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.0,60.0,179.0,318.0,532.0,655.0,671
Expenses,11.0,31.0,127.0,265.0,476.0,633.0,608
Operating Profit,15.0,28.0,53.0,54.0,56.0,22.0,63
OPM %,58.0,47.0,29.0,17.0,11.0,3.0,9
Other Income,0.0,0.0,0.0,-0.0,-2.0,1.0,18
Interest,10.0,9.0,17.0,24.0,51.0,84.0,95
Depreciation,0.0,8.0,12.0,15.0,21.0,25.0,28
Profit before tax,4.0,11.0,24.0,15.0,-18.0,-85.0,-42
Tax %,37.0,42.0,43.0,59.0,-18.0,-2.0,
Net Profit,3.0,7.0,14.0,6.0,-21.0,-87.0,-46
EPS in Rs,4.43,0.84,2.22,1.23,-0.36,-5.35,-1.39
