,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.17,2.56,4.33,1.84,1.38,9.22,3.84,4.74,4.8,5.27,9.71,16.84,26.11
Expenses,0.15,2.52,4.18,1.24,17.56,7.67,2.4,2.08,3.04,2.66,4.99,8.3,10.89
Operating Profit,0.02,0.04,0.15,0.6,-16.18,1.55,1.44,2.66,1.76,2.61,4.72,8.54,15.22
OPM %,11.76,1.56,3.46,32.61,-1172.46,16.81,37.5,56.12,36.67,49.53,48.61,50.71,58.29
Other Income,0.0,0.0,0.0,0.0,16.9,0.0,0.32,0.01,0.03,0.01,0.04,0.0,0.46
Interest,0.0,0.0,0.07,0.25,0.18,0.44,0.36,0.49,0.32,0.53,1.6,4.77,9.89
Depreciation,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,0.02,0.03,0.03,0.04
Profit before tax,0.02,0.04,0.08,0.35,0.54,1.1,1.38,2.15,1.44,2.07,3.13,3.74,5.75
Tax %,50.0,25.0,37.5,40.0,29.63,30.0,31.16,24.19,34.03,31.88,21.09,33.16,
Net Profit,0.01,0.03,0.05,0.21,0.37,0.77,0.94,1.63,0.95,1.41,2.47,2.5,3.91
EPS in Rs,0.02,0.06,0.01,0.04,0.07,0.15,0.18,0.32,0.18,0.26,0.41,0.41,0.64
