,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.45,1.13,1.13,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,13.95,14.77
Reserves,0.59,1.62,1.13,4.64,5.17,5.49,3.99,4.27,4.66,4.93,10.07,6.1,8.84
Borrowings,6.59,7.51,12.02,9.49,9.6,10.13,8.9,5.01,3.06,4.11,3.75,2.56,10.0
Other Liabilities,2.45,4.88,4.79,9.35,16.05,16.09,16.2,16.22,15.26,13.17,16.98,10.72,10.79
Total Liabilities,10.08,15.14,19.07,27.64,34.98,35.87,33.25,29.66,27.14,26.37,34.96,33.33,44.4
Fixed Assets,4.8,6.07,8.08,11.05,11.04,10.38,9.58,9.33,8.62,7.98,8.5,8.26,9.09
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.07,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.43,0.43,2.81
Other Assets,5.21,8.26,10.18,15.78,23.13,24.68,22.86,19.52,17.71,17.58,26.03,24.64,32.5
Total Assets,10.08,15.14,19.07,27.64,34.98,35.87,33.25,29.66,27.14,26.37,34.96,33.33,44.4
