,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.0,1.25,1.27,2.05,2.05,4.11,5.11,5.11,10.21,10.21,10.21,10.21,10.21
Reserves,0.0,-0.27,-0.09,0.01,0.27,1.55,5.23,5.98,2.5,4.83,7.24,9.89,11.43
Borrowings,1.74,3.2,3.71,4.06,3.52,3.47,4.93,4.89,4.23,6.67,7.9,9.64,10.73
Other Liabilities,0.32,2.35,2.72,3.17,3.14,5.32,5.11,7.95,8.97,11.61,14.71,14.31,14.31
Total Liabilities,3.06,6.53,7.61,9.29,8.98,14.45,20.38,23.93,25.91,33.32,40.06,44.05,46.68
Fixed Assets,0.35,2.58,2.54,2.49,2.45,2.35,5.68,7.0,6.85,8.03,7.38,6.98,7.11
CWIP,2.17,0.0,0.0,0.0,0.16,1.69,0.9,0.0,0.0,0.02,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.0,1.0,1.01
Other Assets,0.54,3.95,5.07,6.8,6.37,10.41,13.8,16.93,19.06,24.32,31.68,36.07,38.56
Total Assets,3.06,6.53,7.61,9.29,8.98,14.45,20.38,23.93,25.91,33.32,40.06,44.05,46.68
