,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,187.0,195.0,226.0,237.0,167.0,219.0,310.0,410.0,266.0,354.0,357.0,263.0,309.0
Expenses,164.0,167.0,195.0,212.0,153.0,197.0,275.0,377.0,240.0,303.0,309.0,225.0,273.0
Operating Profit,24.0,27.0,31.0,25.0,14.0,22.0,34.0,33.0,26.0,51.0,49.0,39.0,36.0
OPM %,13.0,14.0,14.0,10.0,8.0,10.0,11.0,8.0,10.0,15.0,14.0,15.0,12.0
Other Income,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,7.0,1.0,2.0
Interest,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0
Depreciation,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Profit before tax,21.0,26.0,29.0,23.0,13.0,21.0,30.0,31.0,26.0,50.0,50.0,37.0,35.0
Tax %,25.0,25.0,25.0,25.0,25.0,25.0,25.0,27.0,23.0,25.0,25.0,25.0,25.0
Net Profit,16.0,20.0,21.0,17.0,10.0,16.0,22.0,22.0,20.0,37.0,38.0,27.0,26.0
EPS in Rs,3.11,3.78,4.13,3.27,1.86,3.09,4.35,4.3,3.9,7.24,7.3,5.31,5.07
