,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,48.0,42.0,62.0,62.0,187.0,134.0,152.0,121.0,132.0,176.0,285.0,393.0,561
Expenses,39.0,32.0,46.0,36.0,160.0,103.0,113.0,85.0,93.0,134.0,194.0,286.0,408
Operating Profit,9.0,10.0,16.0,26.0,28.0,30.0,39.0,36.0,39.0,41.0,92.0,107.0,153
OPM %,18.0,24.0,25.0,42.0,15.0,23.0,26.0,29.0,29.0,23.0,32.0,27.0,27
Other Income,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,10
Interest,3.0,3.0,9.0,17.0,19.0,19.0,21.0,20.0,17.0,15.0,15.0,22.0,29
Depreciation,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,6
Profit before tax,5.0,6.0,6.0,6.0,7.0,10.0,16.0,12.0,18.0,23.0,74.0,82.0,128
Tax %,28.0,35.0,38.0,25.0,39.0,41.0,24.0,28.0,32.0,27.0,27.0,27.0,
Net Profit,4.0,4.0,3.0,5.0,4.0,6.0,12.0,6.0,12.0,17.0,54.0,60.0,95
EPS in Rs,1.95,1.46,1.4,2.04,1.72,2.52,2.45,1.18,2.49,2.34,5.38,6.07,9.56
