,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,0.45,0.10,0.11,0.15,0.14,0.18,0.13,0.12,0.16,0.13,0.14,0.15,0.14
Operating Profit,-0.45,-0.10,-0.11,-0.15,-0.14,-0.18,-0.13,-0.12,-0.16,-0.13,-0.14,-0.15,-0.14
OPM %,,,,,,,,,,,,,
Other Income,0.13,0.10,0.13,0.13,0.11,0.08,0.02,0.14,0.10,0.08,0.06,0.05,0.06
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Depreciation,0.26,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Profit before tax,-0.58,-0.19,-0.17,-0.02,-0.03,-0.10,-0.11,0.02,-0.06,-0.05,-0.08,-0.10,-0.08
Tax %,0.00,-100.00,23.53,850.00,-33.33,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,
Net Profit,-0.58,-0.39,-0.13,0.15,-0.05,-0.11,-0.11,0.02,-0.06,-0.05,-0.08,-0.10,-0.08
EPS in Rs,-1.12,-0.75,-0.25,0.29,-0.10,-0.21,-0.21,0.04,-0.12,-0.10,-0.15,-0.19,-0.16
