,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15
Reserves,10.51,10.68,8.57,8.72,9.53,7.97,8.19,7.06,7.45,8.01,9.26,14.19,15.7
Borrowings,8.16,7.33,6.48,4.13,5.1,5.8100000000000005,5.54,6.18,3.5,0.8,0.8,0.52,0.43
Other Liabilities,12.56,17.59,15.86,12.61,13.12,14.42,9.64,12.89,11.25,6.8,2.3,3.08,2.5700000000000003
Total Liabilities,35.38,39.75,35.06,29.61,31.9,32.35,27.52,30.28,26.35,19.76,16.51,21.94,22.85
Fixed Assets,20.7,21.24,18.34,16.64,16.46,16.57,17.42,16.68,14.86,11.44,9.38,8.56,7.68
CWIP,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.78,0.0,0.0,0.0,0.0,0.0
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.76,4.19
Other Assets,14.67,18.5,16.71,12.96,15.43,14.81,10.09,12.81,11.48,8.31,7.12,12.62,10.98
Total Assets,35.38,39.75,35.06,29.61,31.9,32.35,27.52,30.28,26.35,19.76,16.51,21.94,22.85
