,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,61.68,38.97,75.28,37.96,86.8,88.78,76.22,99.17,117.88,119.04,107.83,66.76,50.69
Expenses,55.78,35.74,70.39,38.49,87.74,88.14,67.08,88.44,95.02,99.94,88.79,63.86,46.04
Operating Profit,5.9,3.23,4.89,-0.53,-0.94,0.64,9.14,10.73,22.86,19.1,19.04,2.9,4.65
OPM %,9.57,8.29,6.5,-1.4,-1.08,0.72,11.99,10.82,19.39,16.05,17.66,4.34,9.17
Other Income,0.15,0.06,0.01,0.02,0.03,0.16,0.23,0.0,0.12,1.72,2.04,0.77,0.3
Interest,0.3,0.5,0.43,0.04,0.08,0.04,0.01,0.16,0.68,0.16,0.31,0.08,0.21
Depreciation,0.27,0.3,0.33,0.25,0.25,0.25,0.28,0.21,0.23,0.23,0.26,0.17,0.21
Profit before tax,5.48,2.49,4.14,-0.8,-1.24,0.51,9.08,10.36,22.07,20.43,20.51,3.42,4.53
Tax %,44.53,47.39,69.81,-15.0,41.13,45.1,16.52,18.53,17.54,17.72,36.67,33.63,30.24
Net Profit,3.04,1.31,1.26,-0.92,-0.74,0.29,7.58,8.44,18.18,16.81,13.0,2.27,3.17
EPS in Rs,3.88,1.67,1.61,-1.17,-0.95,0.37,9.68,10.78,23.22,21.47,16.6,2.9,4.05
