,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2693.0,3164.0,3579.0,3982.0,3868.0,3982.0,4188.0,4462.0,4525.0,4841.0,5100.0,5226.0,5437
Expenses,2115.0,2505.0,2915.0,3159.0,2929.0,3038.0,3074.0,3226.0,3323.0,3331.0,3534.0,3679.0,3723
Operating Profit,579.0,659.0,664.0,823.0,940.0,944.0,1114.0,1236.0,1202.0,1510.0,1566.0,1547.0,1714
OPM %,21.0,21.0,19.0,21.0,24.0,24.0,27.0,28.0,27.0,31.0,31.0,30.0,32
Other Income,51.0,48.0,115.0,32.0,7.0,41.0,26.0,68.0,49.0,30.0,26.0,42.0,45
Interest,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,7.0,6.0,5.0,4
Depreciation,39.0,44.0,51.0,75.0,111.0,133.0,157.0,159.0,198.0,182.0,177.0,175.0,175
Profit before tax,588.0,663.0,728.0,780.0,835.0,851.0,983.0,1143.0,1043.0,1350.0,1409.0,1410.0,1580
Tax %,24.0,25.0,26.0,28.0,30.0,32.0,32.0,32.0,22.0,23.0,23.0,26.0,
Net Profit,446.0,497.0,540.0,559.0,581.0,577.0,673.0,776.0,816.0,1035.0,1078.0,1047.0,1173
EPS in Rs,16.41,18.26,19.85,20.55,21.37,21.23,24.76,28.52,30.02,38.07,39.65,38.5,43.13
