,Mar 2016,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.11,14.92,13.15,2.36,4.54,6.11,5.74
Expenses,1.18,14.56,9.3,2.09,2.77,3.28,4.26
Operating Profit,-0.07,0.36,3.85,0.27,1.77,2.83,1.48
OPM %,-6.31,2.41,29.28,11.44,38.99,46.32,25.78
Other Income,0.09,0.14,0.06,0.01,0.69,0.19,0.15
Interest,-0.0,-0.0,1.06,-0.0,0.01,0.01,0.00
Depreciation,0.01,0.1,0.94,3.25,2.77,3.03,3.29
Profit before tax,0.01,0.4,1.91,-2.97,-0.32,-0.02,-1.66
Tax %,-0.0,30.0,30.37,-26.94,212.5,-2350.0,
Net Profit,0.01,0.29,1.32,-3.77,0.36,-0.49,-2.11
EPS in Rs,0.0,0.03,0.03,-0.44,0.04,-0.06,-0.19
