,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.34,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02
Reserves,3.11,0.54,0.78,1.35,1.43,1.95,2.18,2.76,4.48,16.41,18.44,16.78,21.43
Borrowings,0.0,0.04,0.0,0.18,0.04,0.64,0.0,0.0,0.18,3.73,14.24,12.51,10.4
Other Liabilities,0.75,0.64,0.74,1.0,1.88,3.24,4.87,2.71,3.39,6.87,4.49,1.07,2.07
Total Liabilities,5.2,11.24,11.54,12.55,13.37,15.85,17.07,15.49,18.07,37.03,47.19,40.38,43.92
Fixed Assets,0.23,0.28,0.25,0.21,0.18,0.15,0.14,0.11,0.07,1.9,1.85,1.87,1.85
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.32,0.78,0.42,0.48,2.54,2.52,9.54,3.67,3.56,2.95,2.94,2.94,2.45
Other Assets,4.65,10.18,10.87,11.86,10.65,13.18,7.39,11.71,14.44,32.18,42.4,35.57,39.62
Total Assets,5.2,11.24,11.54,12.55,13.37,15.85,17.07,15.49,18.07,37.03,47.19,40.38,43.92
