,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85
Reserves,10.47,10.83,11.19,13.0,14.99,16.68,19.11,24.58,25.71,29.89,34.32,39.2,42.35
Borrowings,0.17,3.5700000000000003,3.11,1.6,2.54,14.01,15.13,19.92,18.98,30.67,51.08,27.61,26.16
Other Liabilities,0.6900000000000001,1.31,0.61,1.04,1.26,1.1,0.9,2.15,1.82,2.09,1.26,1.23,1.77
Total Liabilities,22.18,26.56,25.76,26.49,29.64,42.64,45.99,57.5,57.36,73.5,97.51,78.89,81.13
Fixed Assets,0.09,0.07,0.05,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.02,0.71
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.02,3.88,4.16,2.72,3.02,2.67,2.59,9.39,6.11,3.27,3.82,3.97,0.0
Other Assets,22.07,22.61,21.55,23.74,26.6,39.95,43.37,48.08,51.23,70.21,93.68,74.9,80.42
Total Assets,22.18,26.56,25.76,26.49,29.64,42.64,45.99,57.5,57.36,73.5,97.51,78.89,81.13
