,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,684.0,781.0,802.0,917.0,1034.0,1227.0,1228.0,1222.0,1149.0,1191.0,1236.0,1716.0,1922
Expenses,667.0,762.0,781.0,891.0,1005.0,1195.0,1193.0,1183.0,1105.0,1136.0,1181.0,1653.0,1853
Operating Profit,17.0,19.0,20.0,26.0,29.0,32.0,36.0,39.0,44.0,54.0,55.0,64.0,70
OPM %,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4
Other Income,1.0,1.0,1.0,1.0,1.0,1.0,82.0,4.0,32.0,6.0,5.0,7.0,8
Interest,4.0,5.0,5.0,5.0,7.0,9.0,9.0,10.0,12.0,11.0,8.0,17.0,21
Depreciation,4.0,4.0,4.0,6.0,5.0,5.0,8.0,9.0,21.0,24.0,25.0,19.0,21
Profit before tax,11.0,11.0,14.0,16.0,19.0,19.0,101.0,24.0,43.0,26.0,27.0,34.0,36
Tax %,32.0,32.0,33.0,28.0,32.0,36.0,19.0,35.0,9.0,33.0,28.0,28.0,
Net Profit,7.0,8.0,9.0,12.0,13.0,12.0,82.0,16.0,39.0,17.0,19.0,25.0,26
EPS in Rs,11.88,12.67,14.94,18.89,20.88,19.69,133.62,25.72,63.13,28.2,31.66,40.24,42.04
