,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,639.0,316.0,269.0,306.0,355.0,497.0,607.0,1005.0,1078.0,863.0,1428.0,2209.0,2906
Expenses,589.0,275.0,231.0,274.0,320.0,456.0,536.0,878.0,951.0,742.0,1242.0,1986.0,2613
Operating Profit,50.0,41.0,37.0,32.0,35.0,41.0,71.0,126.0,127.0,121.0,186.0,223.0,293
OPM %,8.0,13.0,14.0,11.0,10.0,8.0,12.0,13.0,12.0,14.0,13.0,10.0,10
Other Income,2.0,2.0,2.0,-14.0,1.0,2.0,3.0,5.0,6.0,3.0,6.0,5.0,8
Interest,17.0,15.0,13.0,12.0,11.0,12.0,12.0,11.0,12.0,9.0,9.0,22.0,41
Depreciation,23.0,25.0,22.0,29.0,23.0,24.0,24.0,30.0,51.0,52.0,67.0,85.0,99
Profit before tax,12.0,4.0,3.0,-22.0,2.0,7.0,38.0,90.0,69.0,63.0,116.0,120.0,161
Tax %,27.0,37.0,36.0,-3.0,44.0,30.0,29.0,29.0,24.0,25.0,25.0,27.0,
Net Profit,9.0,2.0,2.0,-23.0,1.0,5.0,27.0,67.0,52.0,49.0,90.0,93.0,118
EPS in Rs,0.28,0.08,0.08,-0.89,0.04,0.19,1.04,2.44,1.91,1.74,3.16,3.27,4.06
