,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.85,2.85,3.25,3.25,3.25,3.25,3.25,3.25,3.25,4.25,4.25,4.25,3.55
Reserves,-0.02,0.08,0.23,0.24,0.29,0.38,0.39,0.46,0.6900000000000001,2.03,2.5700000000000003,3.2,3.55
Borrowings,0.01,0.08,0.06,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.08,0.06,0.05
Other Liabilities,0.13,0.19,0.16,0.05,0.05,0.07,0.07,0.08,0.11,0.2,0.24,0.28,0.31
Total Liabilities,2.97,3.2,3.7,3.59,3.62,3.71,3.71,3.79,4.05,6.48,7.14,7.79,9.41
Fixed Assets,0.26,0.33,0.28,0.17,0.11,0.08,0.06,0.05,0.04,0.03,0.14,0.13,0.11
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.63,0.43,0.43,0.43,0.43,0.37,0.37,0.55,0.55,0.55,0.24,0.24,0.24
Other Assets,2.08,2.44,2.99,2.99,3.08,3.26,3.28,3.19,3.46,5.9,6.76,7.42,9.06
Total Assets,2.97,3.2,3.7,3.59,3.62,3.71,3.71,3.79,4.05,6.48,7.14,7.79,9.41
