,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.0,18.0,33.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
Expenses,7.0,11.0,58.0,7.0,17.0,4.0,21.0,5.0,6.0,4.0,48.0,3.0,2.0
Operating Profit,-4.0,7.0,-25.0,-6.0,-14.0,-3.0,-20.0,-4.0,-4.0,-2.0,-46.0,-1.0,-1.0
OPM %,-193.0,37.0,-77.0,-512.0,-622.0,-291.0,-1502.0,-509.0,-223.0,-176.0,-1972.0,-35.0,-37.0
Other Income,1.0,0.0,1.0,2.0,0.0,0.0,65.0,106.0,1.0,0.0,84.0,0.0,-14.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0
Depreciation,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,-6.0,2.0,-28.0,-5.0,-14.0,-3.0,44.0,102.0,-3.0,-2.0,35.0,-2.0,-15.0
Tax %,10.0,52.0,56.0,21.0,11.0,13.0,110.0,16.0,-388.0,-8610.0,74.0,0.0,-0.0
Net Profit,-6.0,1.0,-12.0,-4.0,-13.0,-3.0,-5.0,85.0,-17.0,-174.0,9.0,-2.0,-15.0
EPS in Rs,-0.48,0.1,-1.05,-0.35,-1.08,-0.21,-0.39,7.21,-1.44,-14.79,0.78,-0.13,-1.28
