,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,22.76,25.94,31.12,35.53,35.66,40.14,41.38,49.43
Expenses,21.79,25.08,29.66,33.97,33.82,38.02,39.18,46.88
Operating Profit,0.97,0.86,1.46,1.56,1.84,2.12,2.2,2.55
OPM %,4.26,3.32,4.69,4.39,5.16,5.28,5.32,5.16
Other Income,0.36,0.74,0.44,0.56,0.23,0.28,0.47,0.82
Interest,0.65,0.73,0.88,1.02,0.99,1.22,1.16,1.28
Depreciation,0.05,0.14,0.22,0.23,0.24,0.29,0.31,0.32
Profit before tax,0.63,0.73,0.8,0.87,0.84,0.89,1.2,1.77
Tax %,20.63,24.66,21.25,18.39,14.29,16.85,53.33,
Net Profit,0.5,0.56,0.63,0.71,0.72,0.73,0.56,0.90
EPS in Rs,0.83,0.93,1.05,1.18,1.2,1.22,0.93,1.50
