,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.01,0.01,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97
Reserves,3.38,5.09,6.44,7.57,10.1,4.39,7.26,10.13,11.78,13.39,15.04,16.78,17.4
Borrowings,0.6000000000000001,0.46,0.19,0.13,0.0,0.15,0.52,0.12,0.01,0.0,0.0,0.0,0.61
Other Liabilities,1.03,5.03,3.8,3.28,6.74,6.27,3.55,6.52,5.8,6.66,6.44,3.63,3.42
Total Liabilities,5.02,10.59,10.44,10.99,16.85,21.78,22.3,27.74,28.56,31.02,32.45,31.38,32.4
Fixed Assets,0.7000000000000001,0.98,0.8200000000000001,0.73,1.19,0.99,1.39,1.2,0.94,7.49,7.24,6.71,7.03
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.39,0.05,0.37,0.86,4.7,4.12,5.39,7.64,11.88,8.14,8.86,10.03,10.46
Other Assets,3.93,9.56,9.25,9.4,10.96,16.67,15.52,18.9,15.74,15.39,16.35,14.64,14.91
Total Assets,5.02,10.59,10.44,10.99,16.85,21.78,22.3,27.74,28.56,31.02,32.45,31.38,32.4
