,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.22,1.96,0.99,8.41,22.17,15.11,10.65
Expenses,0.32,1.35,1.59,7.38,20.42,14.86,9.57
Operating Profit,-0.10,0.61,-0.6,1.03,1.75,0.25,1.08
OPM %,-45.45,31.12,-60.61,12.25,7.89,1.65,10.14
Other Income,0.00,0.13,0.06,0.39,0.36,0.56,0.44
Interest,0.01,0.09,0.03,0.2,0.51,0.65,0.69
Depreciation,0.04,0.20,0.05,0.32,0.37,0.41,0.48
Profit before tax,-0.15,0.45,-0.62,0.9,1.23,-0.25,0.35
Tax %,0.00,37.78,24.19,34.44,17.89,-36.0,88.57
Net Profit,-0.12,0.28,-0.47,0.6,1.01,-0.34,0.05
EPS in Rs,,,-0.08,0.12,0.14,-0.04,0.05
