,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Reserves,2.94,3.56,4.43,5.22,6.6,18.38,19.54,19.46,19.96,19.58,18.52,16.12,15.44
Borrowings,2.28,2.85,2.37,1.89,0.71,0.0,0.0,0.0,0.71,0.56,0.37,0.0,0.0
Other Liabilities,6.12,6.18,9.38,6.83,5.5600000000000005,3.35,4.72,2.64,3.54,2.36,1.81,1.35,0.9
Total Liabilities,17.34,18.59,22.18,19.94,18.87,27.73,30.26,28.1,30.21,28.5,26.7,23.47,22.34
Fixed Assets,5.36,5.53,5.51,5.37,5.34,15.14,14.69,14.16,14.01,12.98,13.92,12.43,11.92
CWIP,0.42,0.18,0.0,0.0,0.04,0.09,0.01,0.02,0.04,0.03,0.05,0.05,0.05
Investments,0.08,0.08,0.06,0.1,0.25,0.28,2.27,0.19,0.19,0.19,0.19,0.19,0.19
Other Assets,11.48,12.8,16.61,14.47,13.24,12.22,13.29,13.73,15.97,15.3,12.54,10.8,10.18
Total Assets,17.34,18.59,22.18,19.94,18.87,27.73,30.26,28.1,30.21,28.5,26.7,23.47,22.34
