,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,173.0,64.0,114.0,203.0,145.0,124.0,280.0,257
Expenses,150.0,66.0,82.0,170.0,135.0,90.0,224.0,203
Operating Profit,23.0,-2.0,31.0,33.0,10.0,34.0,56.0,54
OPM %,13.0,-4.0,27.0,16.0,7.0,28.0,20.0,21
Other Income,0.0,18.0,0.0,0.0,3.0,0.0,1.0,3
Interest,14.0,14.0,18.0,22.0,1.0,19.0,27.0,27
Depreciation,9.0,9.0,9.0,9.0,9.0,9.0,12.0,13
Profit before tax,1.0,-7.0,5.0,3.0,3.0,7.0,18.0,17
Tax %,309.0,-25.0,31.0,21.0,22.0,15.0,25.0,
Net Profit,-2.0,-9.0,3.0,2.0,2.0,6.0,13.0,13
EPS in Rs,-0.22,-1.14,0.34,0.22,0.27,0.6,1.41,1.37
