,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.46,0.44,1.09,0.53,0.62,0.7,0.81,0.79,4.1,8.11,20.46,0.51,0.57
Expenses,0.08,0.08,0.75,0.19,0.45,0.58,0.61,0.7,2.31,7.52,19.52,0.73,1.1
Operating Profit,0.38,0.36,0.34,0.34,0.17,0.12,0.2,0.09,1.79,0.59,0.94,-0.22,-0.53
OPM %,82.61,81.82,31.19,64.15,27.42,17.14,24.69,11.39,43.66,7.27,4.59,-43.14,-92.98
Other Income,0.01,0.0,0.0,0.1,0.0,0.05,0.06,0.09,0.21,0.01,-0.01,0.1,0.07
Interest,0.07,0.06,0.13,0.06,0.02,0.02,0.1,0.08,0.08,0.07,0.06,0.09,0.12
Depreciation,0.08,0.08,0.08,0.07,0.07,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.1
Profit before tax,0.24,0.22,0.13,0.31,0.08,0.05,0.08,0.02,1.84,0.45,0.79,-0.29,-0.68
Tax %,16.67,27.27,38.46,22.58,87.5,40.0,-87.5,50.0,32.07,68.89,5.06,-37.93,-7.35
Net Profit,0.21,0.17,0.09,0.25,0.01,0.04,0.16,0.01,1.26,0.15,0.77,-0.4,-0.73
EPS in Rs,0.05,0.04,0.02,0.06,0.0,0.01,0.03,-0.0,0.37,0.05,0.23,-0.09,-0.11
