,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,24.88,26.25,26.25,29.2,29.2,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Reserves,123.97,145.71,158.23,190.32,228.45,354.32,424.88,361.96,364.03,379.04,381.51,367.51,366.88
Preference Capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,
Borrowings,101.4,87.49,111.77,114.12,264.56,273.97,243.98,34.91,3.34,2.93,7.21,32.4,36.17
Other Liabilities,62.39,40.82,62.31,50.37,112.35,90.19,141.33,27.98,87.94,76.45,153.72,161.16,172.76
Total Liabilities,312.64,300.27,358.56,384.01,634.56,750.48,842.19,456.85,487.31,490.42,574.44,593.07,607.81
Fixed Assets,140.55,197.36,237.81,270.87,373.34,518.63,509.34,320.13,323.39,323.46,322.27,321.95,322.62
CWIP,96.08,49.84,51.47,50.01,125.1,73.08,47.24,68.24,107.02,126.31,168.76,187.78,205.47
Investments,4.9,3.84,4.29,1.2,4.08,28.21,95.7,0.01,0.0,0.0,0.0,0.0,0.0
Other Assets,71.11,49.23,64.99,61.93,132.04,130.56,189.91,68.47,56.9,40.65,83.41,83.34,79.72
Total Assets,312.64,300.27,358.56,384.01,634.56,750.48,842.19,456.85,487.31,490.42,574.44,593.07,607.81
