,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,987.0,1235.0,1463.0,1526.0,1681.0,1722.0,1872.0,2058.0,1962.0,1991.0,1961.0,1768.0,1778.0
Expenses,712.0,900.0,1009.0,1075.0,1295.0,1370.0,1462.0,1702.0,1691.0,1676.0,1613.0,1559.0,1476.0
Operating Profit,276.0,335.0,455.0,452.0,387.0,352.0,410.0,356.0,271.0,315.0,348.0,210.0,302.0
OPM %,28.0,27.0,31.0,30.0,23.0,20.0,22.0,17.0,14.0,16.0,18.0,12.0,17.0
Other Income,4.0,5.0,6.0,8.0,8.0,26.0,4.0,10.0,12.0,13.0,13.0,32.0,17.0
Interest,20.0,16.0,14.0,11.0,9.0,7.0,7.0,9.0,6.0,6.0,4.0,2.0,3.0
Depreciation,31.0,34.0,56.0,44.0,44.0,45.0,45.0,42.0,42.0,41.0,41.0,38.0,39.0
Profit before tax,229.0,290.0,390.0,405.0,342.0,325.0,362.0,315.0,235.0,281.0,315.0,202.0,277.0
Tax %,26.0,25.0,26.0,25.0,26.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Net Profit,170.0,217.0,290.0,303.0,254.0,242.0,267.0,235.0,174.0,209.0,234.0,150.0,205.0
EPS in Rs,12.48,15.88,21.27,22.19,18.65,17.78,19.59,17.2,12.79,15.33,17.15,10.99,15.04
