,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,23,23,23,23,23,23,27,27,27,27,27,27,27.0
Reserves,729,751,753,742,812,897,1656,1915,1928,1915,1995,2192,2321.0
Preference Capital,12,0,0,0,0,0,0,0,0,0,0,0,
Borrowings,455,485,352,337,243,221,2,0,0,35,45,68,71.0
Other Liabilities,213,276,167,116,117,116,299,129,168,165,210,250,333.0
Total Liabilities,1420,1534,1295,1218,1195,1257,1984,2071,2123,2142,2276,2536,2752.0
Fixed Assets,132,349,760,854,861,852,1224,1229,1286,1242,1197,1211,1195.0
CWIP,411,522,99,4,3,1,4,13,7,6,7,22,89.0
Investments,134,114,105,108,83,98,422,445,505,560,638,560,634.0
Other Assets,742,550,331,252,249,307,334,383,325,334,435,744,833.0
Total Assets,1420,1534,1295,1218,1195,1257,1984,2071,2123,2142,2276,2536,2752.0
