,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,85,85,126,177,177,210,253,253,253,253,253,253,253.0
Reserves,643,681,610,546,331,445,496,508,574,611,647,708,
Borrowings,13526,12794,13469,13323,11606,11439,11312,10804,11082,11862,12553,13844,
Other Liabilities,422,269,482,305,349,240,225,234,357,370,343,327,
Total Liabilities,14676,13830,14688,14352,12463,12333,12286,11799,12265,13096,13796,15132,
Fixed Assets,139,125,199,184,152,183,173,169,179,225,221,251,
CWIP,9,10,13,19,27,31,31,33,35,0,0,7,
Investments,4360,4509,4482,4497,3792,4194,4365,4037,3682,4439,4044,3889,
Other Assets,10168,9184,9993,9652,8492,7925,7718,7560,8369,8433,9531,10986,
Total Assets,14676,13830,14688,14352,12463,12333,12286,11799,12265,13096,13796,15132,
