,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,67.0,57.0,44.0,39.0,36.0,35.0,39.0,47.0,69.0,63.0,66.0,110.0,112
Expenses,56.0,49.0,38.0,34.0,31.0,25.0,27.0,28.0,34.0,38.0,44.0,54.0,73
Operating Profit,10.0,8.0,6.0,5.0,4.0,9.0,12.0,19.0,35.0,25.0,22.0,56.0,40
OPM %,16.0,14.0,13.0,13.0,13.0,27.0,30.0,40.0,51.0,40.0,33.0,51.0,35
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,3.0,2.0,3.0,3
Interest,4.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
Profit before tax,5.0,2.0,1.0,-0.0,0.0,6.0,8.0,18.0,35.0,26.0,22.0,57.0,40
Tax %,28.0,21.0,5.0,-431.0,-212.0,16.0,14.0,26.0,32.0,19.0,24.0,26.0,
Net Profit,4.0,2.0,1.0,-2.0,0.0,5.0,7.0,13.0,24.0,21.0,17.0,42.0,30
EPS in Rs,3.68,1.74,0.77,-1.58,0.26,4.91,7.25,13.42,24.52,21.5,17.09,43.16,30.62
