,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,218.0,217.0,182.0,34.0,89.0,83.0,139.0,116.0,93.0,219.0,262.0,190.0,121
Expenses,217.0,205.0,226.0,29.0,85.0,81.0,95.0,33.0,21.0,34.0,47.0,55.0,63
Operating Profit,1.0,12.0,-43.0,5.0,4.0,2.0,43.0,83.0,72.0,185.0,215.0,135.0,58
OPM %,1.0,5.0,-24.0,15.0,5.0,2.0,31.0,71.0,77.0,85.0,82.0,71.0,48
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.0,29.0,27.0,37.0,72
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,28.0,27.0,30.0,26
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Profit before tax,1.0,12.0,-43.0,5.0,4.0,2.0,47.0,78.0,85.0,186.0,215.0,142.0,103
Tax %,18.0,32.0,33.0,31.0,30.0,24.0,34.0,35.0,17.0,21.0,22.0,18.0,
Net Profit,1.0,8.0,-29.0,3.0,3.0,1.0,31.0,51.0,71.0,147.0,167.0,116.0,84
EPS in Rs,0.05,0.45,-1.65,0.19,0.17,0.08,1.77,2.87,4.04,8.34,9.51,6.59,4.79
