,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1505.0,1450.0,1584.0,1626.0,1490.0,1506.0,1321.0,1500.0,1230.0,1118.0,1253.0,1316.0,1394
Expenses,1363.0,1312.0,1418.0,1471.0,1346.0,1339.0,1190.0,1326.0,1071.0,991.0,1081.0,1132.0,1227
Operating Profit,142.0,138.0,166.0,155.0,144.0,167.0,131.0,174.0,159.0,127.0,172.0,184.0,167
OPM %,9.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,13.0,11.0,14.0,14.0,12
Other Income,8.0,5.0,14.0,29.0,5.0,1.0,5.0,7.0,18.0,6.0,-8.0,10.0,54
Interest,71.0,85.0,103.0,83.0,75.0,80.0,76.0,81.0,83.0,72.0,62.0,68.0,63
Depreciation,43.0,46.0,51.0,51.0,52.0,53.0,47.0,49.0,80.0,78.0,77.0,70.0,65
Profit before tax,35.0,12.0,26.0,50.0,21.0,36.0,13.0,50.0,14.0,-16.0,25.0,55.0,93
Tax %,30.0,197.0,47.0,43.0,41.0,45.0,94.0,45.0,-184.0,-34.0,38.0,23.0,
Net Profit,25.0,-12.0,14.0,29.0,12.0,20.0,1.0,27.0,39.0,-22.0,15.0,43.0,78
EPS in Rs,45.51,-21.5,24.86,45.18,19.36,30.94,1.14,43.32,61.6,-34.49,24.4,67.48,123.06
