,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,11,11,11,11,11,11,11,11,11,12,12
Reserves,27,30,38,47,53,66,81,97,117,145,159,171,183
Borrowings,22,22,28,36,33,25,25,31,101,153,174,148,135
Other Liabilities,16,15,21,18,15,17,22,19,22,42,70,81,68
Total Liabilities,76,77,98,112,111,120,140,158,251,351,415,412,398
Fixed Assets,32,32,32,35,34,35,35,38,36,34,272,259,252
CWIP,0,0,9,9,9,10,14,25,71,194,0,0,0
Investments,3,4,3,1,1,1,1,1,1,1,1,1,1
Other Assets,40,41,54,67,66,74,90,94,143,121,142,152,144
Total Assets,76,77,98,112,111,120,140,158,251,351,415,412,398
