,2011-03-01,2012-03-01,2013-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.43,26.8,30.48,20.56,20.56,20.56,20.56,20.56,20.56,20.56,20.56,20.56,20.56
Reserves,0.4,12.37,21.13,-18.2,-16.78,-16.31,-21.49,-18.08,-22.61,-25.7,-25.59,-25.52,-25.47
Borrowings,10.05,78.64,84.57,91.37,85.17,76.58,76.04,42.26,8.75,8.21,10.78,5.69,5.67
Other Liabilities,3.69,24.04,22.68,30.87,23.07,18.61,18.03,5.83,5.83,6.31,2.0,1.63,1.66
Total Liabilities,24.57,141.85,158.86,124.6,112.02,99.44,93.14,50.57,12.53,9.38,7.75,2.36,2.42
Fixed Assets,0.12,29.24,51.44,37.57,31.82,29.5,28.52,9.85,0.15,0.3,0.24,0.21,0.17
CWIP,5.28,16.78,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Other Assets,19.17,95.83,107.39,86.98,80.15,69.94,64.62,40.72,12.38,9.08,7.51,2.14,2.25
Total Assets,24.57,141.85,158.86,124.6,112.02,99.44,93.14,50.57,12.53,9.38,7.75,2.36,2.42
