,2012-06-01,2013-06-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32
Reserves,9.4,-25.16,-36.52,-54.99,-71.06,-84.81,-96.44,-73.18,-72.57,-74.85,-78.82,-81.13,-80.25
Preference Capital,12.01,12.11,12.11,12.11,12.11,0.0,12.11,12.11,12.11,12.11,12.11,12.11,
Borrowings,133.07,133.67,137.6,141.48,140.1,139.77,121.02,30.34,9.55,0.0,0.0,0.0,12.11
Other Liabilities,51.62,63.4,59.44,51.58,53.51,44.42,48.19,106.17,104.18,95.0,95.4,97.93,83.83
Total Liabilities,214.41,192.23,180.84,158.39,142.87,119.7,93.09,83.65,61.48,40.47,36.9,37.12,36.01
Fixed Assets,111.06,103.76,100.0,89.77,78.21,55.8,47.09,41.02,34.57,31.99,26.56,23.47,22.57
CWIP,3.56,3.04,3.04,3.04,3.02,3.02,3.02,3.02,3.07,0.0,0.0,0.0,0.0
Investments,4.71,4.71,3.93,3.93,3.85,3.85,3.74,3.74,3.74,0.0,0.0,0.0,0.0
Other Assets,95.08,80.72,73.87,61.65,57.79,57.03,39.24,35.87,20.1,8.48,10.34,13.65,13.44
Total Assets,214.41,192.23,180.84,158.39,142.87,119.7,93.09,83.65,61.48,40.47,36.9,37.12,36.01
