,Jun 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,83.3,75.33,66.49,53.74,38.77,32.55,42.46,49.77,32.8,27.3,40.34,58.46,69.10
Expenses,85.54,88.05,63.66,59.52,42.71,35.37,45.04,48.99,34.95,38.0,39.31,54.6,63.39
Operating Profit,-2.24,-12.72,2.83,-5.78,-3.94,-2.82,-2.58,0.78,-2.15,-10.7,1.03,3.86,5.71
OPM %,-2.69,-16.89,4.26,-10.76,-10.16,-8.66,-6.08,1.57,-6.55,-39.19,2.55,6.6,8.26
Other Income,13.97,1.04,-4.99,-0.9,-1.3,-2.05,1.2,29.7,9.55,14.99,1.6,-0.88,-1.66
Interest,12.04,14.28,2.14,1.35,1.29,2.89,3.4,0.61,0.2,0.46,0.43,0.4,0.43
Depreciation,8.11,7.86,7.05,9.74,9.54,8.22,6.85,6.61,6.59,6.12,6.17,4.89,3.40
Profit before tax,-8.42,-33.82,-11.35,-17.77,-16.07,-15.98,-11.63,23.26,0.61,-2.29,-3.97,-2.31,0.22
Tax %,-9.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-9.18,-33.82,-11.36,-17.77,-16.07,-15.98,-11.63,23.26,0.61,-2.28,-3.97,-2.31,0.24
EPS in Rs,-4.52,-16.64,-5.59,-8.74,-7.91,-7.86,-5.72,11.44,0.3,-1.12,-1.95,-1.14,0.12
