,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.9,4.9,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Reserves,-4.82,-5.35,-3.21,-3.37,-4.14,-14.57,-16.67,-19.64,-21.66,13.56,13.23,14.02,13.88
Borrowings,2.25,2.55,2.55,2.55,2.55,1.94,11.84,13.77,14.53,2.55,2.55,2.55,2.55
Other Liabilities,0.19,0.31,0.2,0.17,0.25,10.35,0.81,1.78,3.01,1.6,0.64,0.39,0.34
Total Liabilities,2.52,2.41,4.94,4.75,4.06,3.12,1.38,1.31,1.28,23.11,21.82,22.36,22.17
Fixed Assets,1.3,1.26,1.23,1.19,1.21,1.17,1.14,1.11,1.08,0.03,0.02,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.01,0.01,0.18,0.95,0.2,0.01,0.01,0.01,0.0,23.02,11.08,16.58,15.86
Other Assets,1.21,1.14,3.53,2.61,2.65,1.94,0.23,0.19,0.2,0.06,10.72,5.77,6.3
Total Assets,2.52,2.41,4.94,4.75,4.06,3.12,1.38,1.31,1.28,23.11,21.82,22.36,22.17
