,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2102.0,2214.0,2459.0,2402.0,2204.0,2079.0,2263.0,2699.0,2711.0,3474.0,5281.0,7276.0,7329
Expenses,1997.0,2016.0,2161.0,2091.0,1911.0,1791.0,2006.0,2295.0,2320.0,3038.0,4586.0,6530.0,6488
Operating Profit,105.0,198.0,299.0,311.0,293.0,288.0,257.0,404.0,391.0,436.0,695.0,746.0,841
OPM %,5.0,9.0,12.0,13.0,13.0,14.0,11.0,15.0,14.0,13.0,13.0,10.0,11
Other Income,74.0,95.0,28.0,59.0,7.0,100.0,80.0,-137.0,8.0,-194.0,59.0,77.0,97
Interest,111.0,126.0,150.0,157.0,180.0,210.0,210.0,235.0,228.0,208.0,195.0,286.0,269
Depreciation,57.0,56.0,56.0,71.0,67.0,67.0,62.0,59.0,57.0,90.0,115.0,121.0,122
Profit before tax,12.0,112.0,120.0,144.0,52.0,111.0,65.0,-26.0,114.0,-56.0,444.0,415.0,547
Tax %,-146.0,21.0,32.0,19.0,32.0,30.0,-2.0,70.0,25.0,-72.0,22.0,24.0,
Net Profit,-26.0,-23.0,-15.0,-116.0,-27.0,144.0,124.0,39.0,161.0,-91.0,348.0,316.0,418
EPS in Rs,-0.83,-0.73,-0.46,-3.25,-0.77,4.04,3.47,0.94,3.72,-2.11,5.84,5.31,7.02
