,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.01,0.17,0.36,0.01,0.11,0.28,0.36,0.17,0.24,0.13,0.24,0.06,0.11
Expenses,0.05,0.19,0.27,0.12,0.18,0.12,0.43,0.27,0.27,0.21,0.29,0.29,0.1
Operating Profit,-0.04,-0.02,0.09,-0.11,-0.07,0.16,-0.07,-0.1,-0.03,-0.08,-0.05,-0.23,0.01
OPM %,-400.0,-11.76,25.0,-1100.0,-63.64,57.14,-19.44,-58.82,-12.5,-61.54,-20.83,-383.33,9.09
Other Income,0.14,0.12,0.05,0.2,0.29,0.15,0.12,0.13,0.11,0.11,0.17,0.13,0.13
Interest,0.04,0.02,0.01,0.01,0.01,0.02,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Depreciation,-0.0,-0.0,0.43,-0.0,-0.0,-0.0,0.43,-0.0,-0.0,-0.0,0.43,0.11,0.11
Profit before tax,0.06,0.08,-0.3,0.08,0.21,0.29,-0.39,0.03,0.08,0.03,-0.31,-0.21,0.03
Tax %,-0.0,-0.0,-113.33,-0.0,-0.0,-0.0,-15.38,-0.0,-0.0,-0.0,19.35,-0.0,-0.0
Net Profit,0.06,0.08,-0.65,0.08,0.21,0.29,-0.44,0.03,0.08,0.03,-0.26,-0.21,0.03
EPS in Rs,0.03,0.04,-0.32,0.04,0.1,0.14,-0.22,0.02,0.04,0.02,-0.13,-0.1,0.02
