,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,53.0,60.0,108.0,20.0,64.0,222.0,68.0,37.0,223.0,14.0,407.0,7.0,43.0
Expenses,79.0,80.0,200.0,57.0,112.0,193.0,42.0,76.0,271.0,64.0,390.0,124.0,19.0
Operating Profit,-27.0,-20.0,-93.0,-38.0,-49.0,29.0,26.0,-39.0,-48.0,-50.0,17.0,-118.0,24.0
OPM %,-51.0,-33.0,-86.0,-192.0,-77.0,13.0,39.0,-107.0,-22.0,-351.0,4.0,-1807.0,55.0
Other Income,54.0,21.0,11.0,20.0,42.0,11.0,19.0,30.0,29.0,19.0,-3.0,18.0,19.0
Interest,31.0,28.0,24.0,24.0,6.0,13.0,12.0,15.0,15.0,19.0,19.0,11.0,7.0
Depreciation,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
Profit before tax,-6.0,-29.0,-109.0,-44.0,-15.0,25.0,32.0,-26.0,-36.0,-51.0,-6.0,-112.0,35.0
Tax %,28.0,5.0,-11.0,2.0,14.0,-7.0,39.0,1.0,0.0,-1.0,-1.0,0.0,0.0
Net Profit,-4.0,-28.0,-120.0,-43.0,-13.0,27.0,20.0,-26.0,-36.0,-52.0,-6.0,-112.0,35.0
EPS in Rs,-0.25,-2.87,-12.71,-4.26,-1.35,3.52,1.31,-2.72,-3.6,-5.3,-0.53,-11.55,3.98
