,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,128.0,168.0,220.0,242.0,241.0,254.0,325.0,317.0,334
Expenses,106.0,136.0,178.0,204.0,198.0,206.0,276.0,283.0,298
Operating Profit,22.0,32.0,42.0,39.0,43.0,48.0,48.0,33.0,35
OPM %,17.0,19.0,19.0,16.0,18.0,19.0,15.0,11.0,11
Other Income,1.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,2
Interest,7.0,12.0,13.0,17.0,20.0,21.0,10.0,9.0,12
Depreciation,4.0,8.0,12.0,15.0,14.0,14.0,14.0,16.0,18
Profit before tax,12.0,13.0,18.0,8.0,12.0,17.0,26.0,10.0,7
Tax %,3.0,5.0,3.0,3.0,7.0,11.0,31.0,28.0,
Net Profit,11.0,12.0,18.0,8.0,11.0,15.0,18.0,7.0,5
EPS in Rs,3.56,3.74,5.3,2.42,3.36,4.54,4.05,1.63,1.17
