,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,5582.0,6246.0,7006.0,7488.0,7826.0,8783.0,9915.0,11635.0,13590.0,14314.0,14382.0,17812.0,20851
Interest,3607.0,4209.0,4728.0,5056.0,5259.0,5653.0,6226.0,7316.0,8678.0,8435.0,7959.0,9975.0,12321
Expenses,1302.0,1410.0,1664.0,1701.0,2529.0,2749.0,3331.0,3572.0,4608.0,5527.0,5758.0,5828.0,6413
Financing Profit,673.0,628.0,614.0,731.0,38.0,382.0,358.0,747.0,304.0,352.0,664.0,2009.0,2116
Financing Margin %,12.0,10.0,9.0,10.0,0.0,4.0,4.0,6.0,2.0,2.0,5.0,11.0,10
Other Income,532.0,665.0,685.0,879.0,808.0,1084.0,1160.0,1335.0,1882.0,1972.0,2121.0,2436.0,2832
Depreciation,59.0,82.0,98.0,79.0,108.0,124.0,125.0,122.0,126.0,115.0,139.0,182.0,0
Profit before tax,1147.0,1210.0,1202.0,1530.0,739.0,1342.0,1393.0,1960.0,2060.0,2209.0,2646.0,4263.0,4948
Tax %,34.0,30.0,31.0,34.0,34.0,36.0,35.0,35.0,25.0,25.0,26.0,26.0,
Net Profit,754.0,853.0,850.0,1058.0,486.0,867.0,935.0,1318.0,1590.0,1680.0,1996.0,3210.0,3720
EPS in Rs,4.41,4.98,4.97,6.17,2.83,5.03,4.74,6.63,7.93,8.34,9.37,14.95,16.89
