,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1047.0,839.0,821.0,742.0,782.0,1208.0,1693.0,1292.0,1935.0,1722.0,1249.0,1233.0,1663.0
Expenses,911.0,654.0,625.0,658.0,677.0,1098.0,1396.0,1110.0,1698.0,1523.0,1065.0,1086.0,1531.0
Operating Profit,136.0,185.0,196.0,85.0,105.0,110.0,297.0,183.0,237.0,199.0,184.0,147.0,132.0
OPM %,13.0,22.0,24.0,11.0,13.0,9.0,18.0,14.0,12.0,12.0,15.0,12.0,8.0
Other Income,14.0,18.0,22.0,24.0,-3.0,3.0,-2.0,23.0,-23.0,36.0,52.0,-7.0,39.0
Interest,61.0,61.0,62.0,61.0,62.0,62.0,60.0,62.0,62.0,62.0,61.0,63.0,61.0
Depreciation,5.0,5.0,8.0,8.0,4.0,7.0,9.0,7.0,7.0,7.0,9.0,5.0,5.0
Profit before tax,83.0,137.0,148.0,40.0,36.0,44.0,227.0,137.0,145.0,166.0,166.0,72.0,105.0
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,83.0,137.0,148.0,40.0,36.0,44.0,227.0,137.0,145.0,166.0,166.0,72.0,105.0
EPS in Rs,1.28,2.11,2.29,0.62,0.56,0.67,3.5,2.12,2.23,2.56,2.56,1.11,1.63
