,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,55.0,58.0,75.0,63.0,78.0,105.0,121.0,136.0,134.0,109.0,138.0,132.0,145.0
Expenses,45.0,45.0,62.0,53.0,64.0,80.0,100.0,110.0,109.0,81.0,105.0,101.0,107.0
Operating Profit,10.0,14.0,13.0,10.0,15.0,25.0,22.0,26.0,25.0,29.0,33.0,32.0,38.0
OPM %,18.0,23.0,17.0,16.0,19.0,24.0,18.0,19.0,19.0,26.0,24.0,24.0,26.0
Other Income,4.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,4.0,4.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Profit before tax,13.0,19.0,15.0,12.0,15.0,25.0,21.0,26.0,26.0,29.0,33.0,34.0,40.0
Tax %,17.0,28.0,21.0,19.0,28.0,25.0,18.0,22.0,21.0,23.0,22.0,22.0,22.0
Net Profit,11.0,13.0,12.0,10.0,11.0,19.0,17.0,20.0,21.0,22.0,26.0,26.0,31.0
EPS in Rs,0.94,1.18,1.01,0.86,0.97,1.67,1.49,1.79,1.86,2.0,2.33,2.32,2.83
