,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,16.0,19.0,18.0,20.0,36.0,95.0,124
Interest,3.0,6.0,10.0,10.0,15.0,47.0,62
Expenses,279.0,410.0,690.0,707.0,915.0,1076.0,1203
Financing Profit,-266.0,-396.0,-682.0,-697.0,-895.0,-1028.0,-1141
Financing Margin %,-1716.0,-2068.0,-3760.0,-3441.0,-2512.0,-1084.0,-919
Other Income,215.0,352.0,673.0,771.0,973.0,1135.0,1220
Depreciation,16.0,18.0,24.0,54.0,35.0,42.0,0
Profit before tax,-67.0,-62.0,-32.0,20.0,43.0,65.0,79
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-67.0,-62.0,-32.0,20.0,43.0,65.0,79
EPS in Rs,-15.11,-13.99,-7.19,4.59,5.14,7.82,9.55
