,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04
Reserves,-7.73,-5.1,2.64,1.97,13.34,19.87,27.04,29.43
Borrowings,9.14,9.25,7.85,7.67,6.42,1.13,0.43,0.43
Other Liabilities,0.01,0.02,0.09,0.0,0.5700000000000001,0.13,0.03,0.04
Total Liabilities,8.46,11.21,17.62,16.68,27.37,28.17,34.54,36.94
Fixed Assets,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,3.7,6.51,12.67,16.24,24.22,27.49,34.21,36.01
Other Assets,4.74,4.68,4.93,0.42,3.13,0.66,0.31,0.93
Total Assets,8.46,11.21,17.62,16.68,27.37,28.17,34.54,36.94
