,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.55,0.35,0.12,0.46,0.26,0.73,4.81,25.12,37.26,49.11,12.8,0.25
Expenses,0.55,0.53,0.09,0.95,0.35,0.3,0.85,4.76,24.17,35.74,47.49,12.14,0.21
Operating Profit,-0.55,0.02,0.26,-0.83,0.11,-0.04,-0.12,0.05,0.95,1.52,1.62,0.66,0.04
OPM %,,3.64,74.29,-691.67,23.91,-15.38,-16.44,1.04,3.78,4.08,3.3,5.16,16.00
Other Income,0.00,0.0,0.03,0.05,0.0,0.0,0.0,0.06,0.0,0.0,0.08,0.0,0.00
Interest,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.08,0.08
Depreciation,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.1,0.12,0.12,0.10
Profit before tax,-0.56,0.02,0.29,-0.78,0.11,-0.04,-0.12,0.1,0.94,1.4,1.55,0.46,-0.14
Tax %,0.00,0.0,0.0,0.0,63.64,0.0,0.0,30.0,23.4,25.71,25.81,26.09,
Net Profit,-0.56,0.01,0.29,-0.78,0.04,-0.04,-0.12,0.07,0.72,1.05,1.16,0.34,-0.10
EPS in Rs,-5.98,0.11,0.51,-1.36,0.07,-0.07,-0.21,0.09,0.89,1.29,1.43,0.42,-0.12
