,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69
Reserves,1.15,1.45,0.73,0.25,1.78,2.04,2.0,2.08,2.1,2.62,2.52,2.79,3.05
Borrowings,1.35,0.8200000000000001,0.42,0.13,0.4,0.19,0.36,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,1.56,1.11,0.55,0.2,0.14,0.05,0.06,0.03,0.2,0.13,0.02,0.06,0.1
Total Liabilities,7.75,7.07,5.39,4.27,6.01,5.97,6.11,5.8,5.99,6.44,6.23,6.54,6.84
Fixed Assets,2.83,2.51,2.22,1.54,0.09,0.08,0.08,1.17,1.29,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.05,0.03,0.03,0.02,0.52,0.6900000000000001,0.65,0.17,0.17,0.17,3.09,3.2,0.17
Other Assets,4.87,4.53,3.14,2.71,5.4,5.2,5.38,4.46,4.53,6.27,3.14,3.34,6.67
Total Assets,7.75,7.07,5.39,4.27,6.01,5.97,6.11,5.8,5.99,6.44,6.23,6.54,6.84
