,2020-06-01,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01
Sales,6.85,10.98,11.57,8.02,4.79,6.89,2.59,8.28,12.13,36.99,29.94,24.93,18.95
Expenses,6.94,10.3,11.26,7.84,4.58,6.99,3.28,6.21,11.53,36.95,32.89,24.99,18.04
Operating Profit,-0.09,0.68,0.31,0.18,0.21,-0.1,-0.69,2.07,0.6,0.04,-2.95,-0.06,0.91
OPM %,-1.31,6.19,2.68,2.24,4.38,-1.45,-26.64,25.0,4.95,0.11,-9.85,-0.24,4.8
Other Income,0.02,0.02,0.02,0.04,0.0,0.04,0.23,0.16,0.28,-0.2,6.18,5.71,-0.15
Interest,0.2,0.22,0.21,0.15,0.2,0.22,0.22,-0.28,0.08,0.08,0.0,0.01,0.02
Depreciation,0.21,0.25,0.24,0.5,0.29,0.29,0.31,0.25,0.22,0.22,0.03,0.03,0.07
Profit before tax,-0.48,0.23,-0.12,-0.43,-0.28,-0.57,-0.99,2.26,0.58,-0.46,3.2,5.61,0.67
Tax %,0.0,0.0,0.0,-6.98,0.0,-3.51,0.0,-9.73,0.0,0.0,0.0,14.8,23.88
Net Profit,-0.48,0.24,-0.12,-0.45,-0.28,-0.59,-0.98,2.48,0.59,-0.47,3.2,4.78,0.51
EPS in Rs,-0.01,0.0,-0.0,-0.01,-0.0,-0.0,-0.01,0.01,0.0,0.0,0.04,0.05,0.01
