,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31
Reserves,0.43,0.56,0.6900000000000001,0.88,1.09,1.31,1.41,1.58,1.73,1.2,1.66,1.5,1.6
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.16,0.0
Other Liabilities,0.23,0.1,0.07,0.15,0.13,0.09,0.07,0.12,0.13,0.19,0.04,0.02,0.02
Total Liabilities,5.97,5.97,6.07,6.34,6.53,6.71,6.79,7.01,7.17,6.7,7.92,6.99,6.93
Fixed Assets,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.03
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.0,0.58,0.58,0.45,0.45,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,4.93,5.35,5.46,5.88,6.07,6.3,6.78,7.01,7.17,6.7,7.92,6.96,6.9
Total Assets,5.97,5.97,6.07,6.34,6.53,6.71,6.79,7.01,7.17,6.7,7.92,6.99,6.93
