,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Revenue,316.0,311.0,299.0,272.0,298.0,292.0,288.0,274.0,279.0,281.0,281.0,268.0,268.0
Interest,211.0,201.0,189.0,184.0,179.0,172.0,166.0,170.0,176.0,178.0,178.0,183.0,179.0
Expenses,77.0,39.0,2.0,88.0,61.0,20.0,48.0,53.0,30.0,16.0,28.0,42.0,47.0
Financing Profit,28.0,72.0,107.0,0.0,58.0,100.0,75.0,51.0,73.0,87.0,75.0,43.0,42.0
Financing Margin %,9.0,23.0,36.0,0.0,19.0,34.0,26.0,19.0,26.0,31.0,27.0,16.0,16.0
Other Income,0.0,0.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,6.0,3.0,3.0
Depreciation,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0
Profit before tax,27.0,71.0,114.0,1.0,58.0,98.0,73.0,51.0,73.0,88.0,78.0,42.0,41.0
Tax %,23.0,14.0,30.0,-226.0,22.0,22.0,33.0,23.0,23.0,26.0,33.0,24.0,26.0
Net Profit,21.0,61.0,80.0,3.0,45.0,77.0,49.0,39.0,56.0,65.0,52.0,32.0,30.0
EPS in Rs,3.83,11.32,14.8,0.52,8.4,14.21,9.1,7.28,10.46,12.15,9.71,5.91,5.6
Gross NPA %,5.47,5.47,7.68,11.16,9.86,9.97,8.6,8.27,7.52,6.89,4.68,4.69,4.59
Net NPA %,2.76,2.69,4.73,7.82,6.07,6.53,5.59,5.11,4.45,3.94,3.29,3.25,3.08
