,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,101.0,118.0,115.0,121.0,119.0,118.0,169.0,211.0,247.0,259.0,291.0,193.0,208
Expenses,69.0,80.0,79.0,98.0,81.0,80.0,117.0,155.0,183.0,184.0,233.0,115.0,123
Operating Profit,33.0,39.0,36.0,23.0,37.0,38.0,52.0,56.0,63.0,76.0,58.0,78.0,85
OPM %,32.0,33.0,31.0,19.0,32.0,32.0,31.0,27.0,26.0,29.0,20.0,40.0,41
Other Income,2.0,2.0,-4.0,11.0,37.0,1.0,52.0,-2.0,-7.0,-5.0,2.0,11.0,12
Interest,15.0,14.0,14.0,15.0,16.0,15.0,11.0,10.0,9.0,6.0,3.0,5.0,6
Depreciation,17.0,18.0,19.0,19.0,11.0,11.0,12.0,12.0,13.0,14.0,13.0,15.0,16
Profit before tax,1.0,9.0,0.0,0.0,48.0,13.0,81.0,31.0,34.0,51.0,44.0,68.0,74
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,27.0,25.0,
Net Profit,1.0,9.0,0.0,0.0,48.0,13.0,81.0,31.0,34.0,24.0,32.0,51.0,55
EPS in Rs,0.23,1.69,0.03,0.02,9.3,2.46,15.58,6.04,6.5,3.78,5.14,7.81,8.32
