,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.8,1.62,1.09,2.32,2.29,2.08,1.94,2.33,2.01,2.03,0.91,1.19,1.70
Expenses,1.11,1.12,0.68,1.57,1.7,1.14,1.11,0.92,0.9,1.45,0.52,0.91,1.03
Operating Profit,0.69,0.5,0.41,0.75,0.59,0.94,0.83,1.41,1.11,0.58,0.39,0.28,0.67
OPM %,38.33,30.86,37.61,32.33,25.76,45.19,42.78,60.52,55.22,28.57,42.86,23.53,39.41
Other Income,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.00
Interest,0.01,0.03,0.12,0.12,0.06,0.01,0.13,0.23,0.06,0.01,0.08,0.0,0.00
Depreciation,0.05,0.04,0.01,0.01,0.01,0.06,0.05,0.06,0.06,0.06,0.04,0.01,0.00
Profit before tax,0.66,0.43,0.28,0.62,0.52,0.87,0.65,1.12,0.99,0.52,0.28,0.27,0.67
Tax %,40.91,32.56,32.14,33.87,40.38,31.03,23.08,27.68,25.25,26.92,25.0,14.81,
Net Profit,0.4,0.29,0.18,0.41,0.31,0.61,0.5,0.81,0.74,0.39,0.21,0.23,0.52
EPS in Rs,0.05,0.04,0.02,0.05,0.04,0.08,0.07,0.11,0.1,0.05,0.03,0.03,0.07
