,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,23,23,23,23,23,23,23,23,26
Reserves,591,647,724,761,815,882,934,957,1144
Borrowings,233,221,240,276,257,207,271,347,341
Other Liabilities,171,156,334,316,297,254,284,334,387
Total Liabilities,1018,1047,1320,1376,1392,1366,1512,1662,1895
Fixed Assets,138,164,167,178,173,163,156,157,188
CWIP,2,0,2,2,1,0,2,7,4
Investments,101,204,234,242,207,259,314,340,331
Other Assets,776,679,918,955,1011,944,1041,1159,1373
Total Assets,1018,1047,1320,1376,1392,1366,1512,1662,1895
