,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.68,0.68,0.68,10.44,10.44,10.44,12.94,13.82
Reserves,1.34,3.7,7.3,17.86,15.39,13.85,18.38,25.6
Borrowings,16.86,18.83,23.15,20.46,23.88,27.53,27.0,24.62
Other Liabilities,3.95,10.07,5.67,5.31,8.41,6.85,14.52,12.33
Total Liabilities,22.83,33.28,36.8,54.07,58.12,58.67,72.84,76.37
Fixed Assets,1.56,1.42,2.02,2.27,4.34,3.94,6.8,4.28
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5
Other Assets,21.27,31.86,34.78,49.3,53.78,54.73,66.04,69.59
Total Assets,22.83,33.28,36.8,54.07,58.12,58.67,72.84,76.37
