,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,50.22,44.13,28.38,34.08,27.55,49.43,27.11,31.29,31.65
Expenses,49.31,43.37,27.59,33.21,26.7,48.61,26.24,30.02,30.49
Operating Profit,0.91,0.76,0.79,0.87,0.85,0.82,0.87,1.27,1.16
OPM %,1.81,1.72,2.78,2.55,3.09,1.66,3.21,4.06,3.67
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0
Interest,0.67,0.82,0.69,0.72,0.75,0.75,0.83,0.93,0.94
Depreciation,0.02,0.02,0.02,0.05,0.01,0.03,0.01,0.02,0.04
Profit before tax,0.22,-0.08,0.08,0.1,0.09,0.04,1.44,0.32,0.18
Tax %,0.0,-75.0,25.0,30.0,22.22,50.0,11.81,25.0,22.22
Net Profit,0.22,-0.14,0.06,0.07,0.07,0.02,1.27,0.24,0.14
EPS in Rs,0.18,-0.08,0.04,0.04,0.04,0.01,0.76,0.14,0.08
