,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.46,0.6,0.63,0.63,0.65,0.76,0.85,0.92,0.95,0.9,1.19,22.25,20.84
Expenses,0.26,0.41,0.43,0.38,0.39,0.44,0.65,0.32,0.45,0.49,0.65,24.61,26.25
Operating Profit,0.2,0.19,0.2,0.25,0.26,0.32,0.2,0.6,0.5,0.41,0.54,-2.36,-5.41
OPM %,43.48,31.67,31.75,39.68,40.0,42.11,23.53,65.22,52.63,45.56,45.38,-10.61,-25.96
Other Income,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,0.03,0.02
Interest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,0.01
Depreciation,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00
Profit before tax,0.2,0.19,0.2,0.25,0.27,0.32,0.23,0.6,0.5,0.41,0.54,-2.34,-5.40
Tax %,30.0,31.58,30.0,32.0,33.33,34.38,21.74,26.67,22.0,26.83,24.07,25.21,
Net Profit,0.14,0.13,0.14,0.17,0.18,0.21,0.18,0.44,0.38,0.31,0.4,-1.75,-4.69
EPS in Rs,0.25,0.24,0.25,0.31,0.33,0.38,0.33,0.8,0.69,0.56,0.73,-3.18,-8.54
