,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,419.0,420.0,481.0,571.0,635.0,706.0,701.0,822.0,779.0,706.0,765.0,858.0,886.0
Expenses,386.0,388.0,453.0,532.0,592.0,658.0,648.0,772.0,732.0,658.0,707.0,788.0,814.0
Operating Profit,34.0,32.0,28.0,40.0,44.0,47.0,52.0,51.0,47.0,48.0,58.0,70.0,72.0
OPM %,8.0,8.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,8.0,8.0
Other Income,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,2.0
Interest,15.0,12.0,14.0,15.0,14.0,14.0,14.0,18.0,15.0,17.0,15.0,22.0,19.0
Depreciation,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0
Profit before tax,13.0,15.0,10.0,19.0,23.0,27.0,32.0,28.0,28.0,28.0,36.0,40.0,46.0
Tax %,26.0,28.0,21.0,27.0,25.0,25.0,24.0,27.0,27.0,34.0,23.0,29.0,24.0
Net Profit,10.0,11.0,8.0,14.0,17.0,20.0,24.0,20.0,20.0,18.0,28.0,29.0,35.0
EPS in Rs,4.15,4.81,3.34,5.53,6.54,7.76,9.34,7.78,7.83,6.75,10.24,10.49,12.73
