,Mar 2008,Mar 2009,Mar 2010,Jun 2011,Sep 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales,136.0,197.0,28.0,67.0,117.0,404.0,228.0,29.0,495.0,1.0,0,0,0.0
Expenses,142.0,199.0,27.0,68.0,113.0,408.0,225.0,29.0,493.0,1.0,1,0,0.0
Operating Profit,-6.0,-2.0,0.0,-1.0,4.0,-4.0,3.0,1.0,2.0,0.0,-1,-0,0.0
OPM %,-5.0,-1.0,2.0,-2.0,3.0,-1.0,1.0,2.0,0.0,17.0,,,
Other Income,8.0,3.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1,-13,-13.0
Interest,1.0,0.0,1.0,0.0,4.0,3.0,3.0,0.0,2.0,1.0,0,0,0.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Profit before tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,-13.0
Tax %,-150.0,88.0,4.0,-5.0,0.0,0.0,3.0,0.0,0.0,0.0,-200,-2,
Net Profit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-13,-13.0
EPS in Rs,5.5,0.15,1.15,1.16,1.87,1.21,1.57,1.21,0.3,0.1,0.10,-67.40,-67.19
