,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.34,9.55,10.29,11.16,11.53,12.21,14.4,22.55,13.6,13.61,15.29,15.97,16.81
Expenses,7.88,9.16,9.66,10.68,10.5,11.59,13.2,16.51,12.2,12.49,13.6,14.87,15.54
Operating Profit,0.46,0.39,0.63,0.48,1.03,0.62,1.2,6.04,1.4,1.12,1.69,1.1,1.27
OPM %,5.52,4.08,6.12,4.3,8.93,5.08,8.33,26.78,10.29,8.23,11.05,6.89,7.56
Other Income,-0.85,-2.01,0.04,0.06,0.05,-0.01,0.08,-0.16,0.03,0.1,0.17,4.44,1.89
Interest,0.1,0.26,0.51,0.58,0.56,0.54,0.51,0.31,0.02,0.01,0.01,0.02,0.02
Depreciation,0.26,0.2,0.16,0.14,0.13,0.12,0.1,0.14,0.19,0.22,0.21,0.22,0.21
Profit before tax,-0.75,-2.08,-0.00,-0.18,0.39,-0.05,0.67,5.43,1.22,0.99,1.64,5.3,2.93
Tax %,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
Net Profit,-0.75,-2.08,-0.00,-0.17,0.39,-0.04,0.67,5.42,1.22,0.99,1.63,5.3,2.93
EPS in Rs,-0.88,-2.43,-0.00,-0.2,0.46,-0.05,0.78,6.34,1.43,1.16,1.91,6.2,3.43
