,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,563,563,563,563,563,564,564,564,564,564,564,564,564
Reserves,1998,2472,2823,3217,3423,3962,1865,2731,4320,5827,7355,8885,9392
Borrowings,1396,1610,1429,1157,1067,2989,5386,4579,3629,2003,713,149,145
Other Liabilities,616,765,811,931,785,4293,4148,4587,4837,5775,6662,7718,7863
Total Liabilities,4573,5410,5625,5868,5838,11808,11963,12461,13350,14169,15294,17316,17965
Fixed Assets,3140,3254,3205,3169,3123,8069,8208,8897,9256,9497,9946,10481,10568
CWIP,443,614,804,949,768,1192,1374,908,807,953,1245,1409,1715
Investments,171,197,543,633,723,469,590,696,1023,1457,1670,1621,1885
Other Assets,820,1345,1073,1117,1224,2079,1790,1960,2264,2262,2433,3805,3796
Total Assets,4573,5410,5625,5868,5838,11808,11963,12461,13350,14169,15294,17316,17965
